,Title,Distributor,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Estimated,Rated,Genre,Language,Awards,DVD,BoxOffice,Director,Writer,Actors,Runtime,Plot,IMDB_ID,IMDB_Rating,IMDB_Votes,IMDB_Metascore
160,The Dinner,The Orchard,"$1,323,312",505,"$653,944",49.4%,505,May 5,Jun 15,False,R,"Crime, Drama, Thriller",English,1 nomination.,08 Aug 2017,N/A,Oren Moverman,"Herman Koch (based on the novel by), Oren Moverman (screenplay by)","Michael Chernus, Taylor Rae Almonte, Steve Coogan, Charlie Plummer",120 min,Two sets of wealthy parents meet for dinner to decide what to do about a crime their sons have committed.,tt3203620,4.5,"6,737",57
161,Twins 2,FIP,"$1,431,255",192,"$638,045",44.6%,192,Sep 29,Oct 19,False,N/A,Adult,English,N/A,N/A,N/A,Jim Malibu,N/A,"Chocolate, Mocha",N/A,N/A,tt0303165,N/A,N/A,N/A
162,The Stray,Purdie Distribution,"$1,579,440",640,"$596,547",37.8%,640,Oct 6,Dec 14,False,PG,"Drama, Family",English,N/A,06 Feb 2018,"$1,564,482",Mitch Davis,"Parker Davis, Mitch Davis","Michael Cassidy, Sarah Lancaster, Connor Corum, Pluto",92 min,"A young father takes his nine-year-old son, the family dog, and two of his son's friends backpacking in the mountains of Colorado only for all five of them to be struck by lightning..",tt5342904,5.4,871,N/A
163,The Post,Twentieth Century Fox,"$81,737,012",2851,"$526,011",0.6%,9,Dec 22,May 17,False,PG-13,"Biography, Drama, History, Thriller",English,Nominated for 2 Oscars. Another 16 wins & 97 nominations.,17 Apr 2018,"$80,369,969",Steven Spielberg,"Liz Hannah, Josh Singer","Meryl Streep, Tom Hanks, Sarah Paulson, Bob Odenkirk",116 min,A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between the press and the government.,tt6294822,7.2,"113,367",83
164,Battle of the Sexes,Fox Searchlight Pictures,"$12,598,957",1822,"$518,332",4.1%,21,Sep 22,Dec 21,False,PG-13,"Biography, Comedy, Drama, Sport",English,Nominated for 2 Golden Globes. Another 3 wins & 16 nominations.,02 Jan 2018,"$12,552,907","Jonathan Dayton, Valerie Faris",Simon Beaufoy,"Emma Stone, Steve Carell, Andrea Riseborough, Natalie Morales",121 min,The true story of the 1973 tennis match between World number one Billie Jean King and ex-champ and serial hustler Bobby Riggs.,tt4622512,6.7,"45,111",73
165,Jagga Jasoos,UTV Motion Pictures,"$861,740",210,"$490,232",56.9%,210,Jul 14,Aug 3,False,TV-14,"Action, Adventure, Comedy, Musical, Mystery",Hindi,7 wins & 12 nominations.,N/A,"$854,064",Anurag Basu,"Anurag Basu (story and screenplay), Amitabh Bhattacharya (dialogue), Debatma Mandal (dialogue), Samrat Chakraborty (dialogue), Anurag Basu (dialogue)","Ranbir Kapoor, Katrina Kaif, Saswata Chatterjee, Chitrak Bandyopadhyay",161 min,"Join Jagga, a gifted teenage detective, who along with a female companion, is on a quest to find his missing father.",tt4129428,6.4,"8,140",N/A
166,True to the Game,-,"$1,231,040",461,"$472,436",38.4%,461,Sep 8,Oct 31,False,R,Drama,English,N/A,N/A,N/A,Preston A. Whitmore II,"Nia Hill, Teri Woods (author)","Erica Peeples, Misan Akuya, George Arvanitidis, Stanley R. Atwater",108 min,A charismatic drug lord tries to start a new life after he falls for a young woman from Philadelphia.,tt5116504,5.1,514,N/A
167,Journey to the West: The Demons Strike Back,Sony Pictures Releasing,"$880,346",67,"$463,883",52.7%,67,Feb 3,Mar 9,False,PG-13,"Adventure, Comedy, Fantasy",Mandarin,N/A,06 Jun 2017,"$870,451",Hark Tsui,"Stephen Chow, Si-Cheun Lee (screenwriter), Hark Tsui","Kris Wu, Kenny Lin, Chen Yao, Yun Lin",109 min,A monk and his three disciples continue on their journey to battle demons.,tt5273624,5.4,"2,427",59
168,Gifted,Fox Searchlight Pictures,"$24,768,464",2215,"$446,380",1.8%,56,Apr 7,Aug 24,False,PG-13,Drama,English,6 wins & 7 nominations.,25 Jul 2017,"$24,799,765",Marc Webb,Tom Flynn,"Chris Evans, Mckenna Grace, Lindsay Duncan, Octavia Spencer",101 min,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",tt4481414,7.6,"86,110",60
169,The Big Sick,Lionsgate,"$42,872,467",2597,"$421,577",1%,5,Jun 23,Oct 22,False,R,"Comedy, Drama, Romance","English, Urdu",Nominated for 1 Oscar. Another 16 wins & 84 nominations.,19 Sep 2017,"$42,824,653",Michael Showalter,"Emily V. Gordon, Kumail Nanjiani","Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano",120 min,"Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.",tt5462602,7.6,"107,449",86
170,Call Me by Your Name,Sony Pictures Classics,"$15,014,887",914,"$412,932",2.8%,4,Nov 24,Apr 26,False,R,"Drama, Romance","English, Italian, French, German, Hebrew",Won 1 Oscar. Another 82 wins & 196 nominations.,13 Mar 2018,N/A,Luca Guadagnino,"James Ivory (screenplay by), André Aciman (based on the novel by)","Armie Hammer, Timothée Chalamet, Michael Stuhlbarg, Amira Casar",132 min,"In 1980s Italy, a romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",tt5726616,7.9,"165,719",93
171,Churchill,Cohen Media Group,"$1,281,258",215,"$408,891",31.9%,215,Jun 2,Aug 16,False,PG,"Biography, Drama, History, War",English,N/A,03 Oct 2017,"$1,279,681",Jonathan Teplitzky,Alex von Tunzelmann,"Brian Cox, Miranda Richardson, John Slattery, Julian Wadham",105 min,"96 hours before the World War II invasion of Normandy, British Prime Minister Winston Churchill struggles with his severe reservations with Operation Overlord and his increasingly marginalized role in the war effort.",tt2674454,6.4,"12,435",44
172,Lady Bird,A24,"$48,958,273",1557,"$364,437",0.7%,4,Nov 3,Apr 5,False,R,"Comedy, Drama","English, Spanish",Nominated for 5 Oscars. Another 102 wins & 191 nominations.,06 Mar 2018,"$48,285,330",Greta Gerwig,Greta Gerwig,"Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges",94 min,"In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California.",tt4925292,7.4,"188,297",94
173,Detroit,Annapurna Pictures,"$16,790,139",3007,"$350,190",2.1%,20,Jul 28,Oct 12,False,R,"Crime, Drama, History, Thriller",English,5 wins & 16 nominations.,12 Dec 2017,"$16,788,494",Kathryn Bigelow,Mark Boal,"Chris Chalk, Mason Alban, Bennett Deady, Andrea Eversley",143 min,Fact-based drama set during the 1967 Detroit riots in which a group of rogue police officers respond to a complaint with retribution rather than justice on their minds.,tt5390504,7.3,"42,018",77
174,Countdown to Canelo vs. Chavez Jr.,Fathom Events,"$343,387",273,"$343,387",100%,273,May 6,May 6,False,N/A,N/A,English,N/A,N/A,N/A,Leigh Simons,Leigh Simons,N/A,70 min,Televised PPV Fight feature Canelo VS. Chavez Jr.,tt6951396,N/A,N/A,N/A
175,Youth,China Lion Film Distribution,"$1,874,328",35,"$338,604",18.1%,30,Dec 15,Jan 28,False,R,"Comedy, Drama, Music, Romance","English, Spanish, Swiss German",Nominated for 1 Oscar. Another 16 wins & 53 nominations.,01 Mar 2016,"$1,882,275",Paolo Sorrentino,"Paolo Sorrentino, Virginia Jewiss (adaptation)","The Retrosettes, Gabriella Belisario, Laura De Marchi, Rachel Weisz",124 min,A retired orchestra conductor is on vacation with his daughter and his film director best friend in the Alps when he receives an invitation from Queen Elizabeth II to perform for Prince Philip's birthday.,tt3312830,7.3,"65,822",64
176,Wilson,Fox Searchlight Pictures,"$651,219",311,"$336,227",51.6%,310,Mar 24,Apr 20,False,R,"Comedy, Drama",English,1 nomination.,20 Jun 2017,"$652,997",Craig Johnson,"Daniel Clowes (graphic novel), Daniel Clowes (screenplay)","Woody Harrelson, Sandra Lee-Oian Thomas, Shaun J. Brown, James Robert Miller",94 min,"A lonely, neurotic, and hilariously honest middle-aged man reunites with his estranged wife, and meets his teenage daughter for the first time.",tt1781058,5.8,"9,172",49
177,A Taxi Driver,Well Go USA Entertainment,"$1,527,829",41,"$331,854",21.7%,41,Aug 11,Oct 19,False,Not Rated,"Action, Drama, History","Korean, German, English, Japanese",16 wins & 21 nominations.,N/A,"$1,527,818",Hun Jang,Yu-na Eom,"Kang-ho Song, Thomas Kretschmann, Hae-jin Yoo, Jun-yeol Ryu",137 min,"A widowed father and taxi driver who drives a German reporter from Seoul to Gwangju to cover the 1980 uprising, soon finds himself regretting his decision after being caught in the violence around him.",tt6878038,7.8,"10,450",69
178,The Devotion of Suspect X,China Lion Film Distribution,"$686,435",46,"$323,207",47.1%,43,Mar 31,Apr 23,False,Unrated,"Crime, Thriller",Mandarin,N/A,N/A,"$686,435",Alec Su,"Keigo Higashino (based on the novel by), Hai Chi (screenplay by)","Kai Wang, Luyi Zhang, Ruby Lin, Zuxin Ye",112 min,A murder mystery that follows a cat-and-mouse relationship between a relentless detective and his equally clever former classmate who's protecting the guilty.,tt3401392,6.3,598,N/A
179,"Three Billboards Outside Ebbing, Missouri",Fox Searchlight Pictures,"$54,387,870",1726,"$322,168",0.6%,4,Nov 10,May 3,False,R,"Comedy, Crime, Drama",English,Won 2 Oscars. Another 104 wins & 193 nominations.,27 Feb 2018,"$52,000,189",Martin McDonagh,Martin McDonagh,"Frances McDormand, Caleb Landry Jones, Kerry Condon, Sam Rockwell",115 min,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,tt5027774,8.2,"366,571",88
180,Mubarakan,Sony Pictures Releasing,"$758,868",128,"$310,170",40.9%,128,Jul 28,Aug 24,False,PG-13,"Comedy, Romance",Hindi,1 win.,N/A,"$757,057",Anees Bazmee,"Rupinder Chahal (story), Rajesh Chawla (dialogue), Balwinder Singh Janjua (screenplay), Balwinder Singh Janjua (story)","Anil Kapoor, Arjun Kapoor, Ileana D'Cruz, Athiya Shetty",156 min,Join Karan and Charan in a very crazy yet chaotic marriage of the year.,tt6272828,5.6,"3,104",N/A
181,Coincidence,-,"$298,032",67,"$298,032",100%,67,Nov 3,Nov 5,False,Not Rated,"Mystery, Thriller",Hindi,2 nominations.,N/A,N/A,Abhay Chopra,"Abhay Chopra, Shreyas Jain, Nikhil Mehrotra","Sidharth Malhotra, Sonakshi Sinha, Akshaye Khanna, Mandira Bedi",105 min,A detective seeks out the truth between two different stories of a crime scene.,tt6692354,7.2,"8,693",N/A
182,"I, Tonya",Neon,"$30,006,215",1450,"$264,155",0.9%,4,Dec 8,Apr 19,False,R,"Biography, Comedy, Drama, Sport",English,Nominated for 3 Oscars. Another 31 wins & 109 nominations.,13 Mar 2018,"$28,950,158",Craig Gillespie,Steven Rogers,"Margot Robbie, Sebastian Stan, Allison Janney, Julianne Nicholson",120 min,"Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.",tt5580036,7.5,"149,449",77
183,Phillauri,FIP,"$467,596",74,"$260,982",55.8%,74,Mar 24,Apr 13,False,N/A,"Comedy, Drama, Fantasy, Musical, Romance",Hindi,1 nomination.,N/A,"$459,391",Anshai Lal,Anvita Dutt Guptan,"Anushka Sharma, Diljit Dosanjh, Suraj Sharma, Mehreen Pirzada",138 min,"A man must marry a tree to ward off threats to his love-life, but the tree turns out to have more spirit than the man bargained for.",tt5502766,6.1,"3,161",N/A
184,Shubh Mangal Saavdhan,Eros International,"$689,874",80,"$259,999",37.7%,80,Sep 1,Oct 5,False,Not Rated,"Comedy, Romance",Hindi,1 win & 7 nominations.,N/A,N/A,R.S. Prasanna,"R.S. Prasanna (story), Hitesh Kewalya (screenplay and dialogue), Hitesh Kewalya (dialogue)","Ayushmann Khurrana, Bhumi Pednekar, Seema Bhargava, Anshul Chauhan",119 min,"In this remake of Kalyana Samayal Saadham (2013), a couple fall in love but then the groom discovers that he suffers from erectile dysfunction.",tt6971752,6.9,"6,687",N/A
185,Sailor Moon R: The Movie: The Promise of the Rose,Eleven Arts,"$452,053",151,"$253,490",56.1%,145,Jan 19,Feb 16,False,TV-14,"Animation, Action, Comedy, Drama, Fantasy, Romance",Japanese,N/A,08 Feb 2000,N/A,Kunihiko Ikuhara,"Sukehiro Tomita (screenplay), Naoko Takeuchi (author: Kodansha Monthly Nakayoshi), Lisa Lumby-Richards (adaptation)","Kotono Mitsuishi, Tôru Furuya, Michie Tomizawa, Aya Hisakawa",61 min,"Fiore, an old friend from Mamoru's lonely childhood who couldn't survive on Earth, returns with flowers he promised Mamoru. But, the evil flower Kisenian overpowered Fiore's weak mind and ...",tt0106417,7.8,"2,032",N/A
186,The Beguiled,Focus Features,"$10,576,669",941,"$229,292",2.2%,4,Jun 23,Aug 17,False,R,"Drama, Thriller","English, French",4 wins & 23 nominations.,10 Oct 2017,"$10,542,504",Sofia Coppola,"Sofia Coppola (screenplay by), Thomas Cullinan (based on the novel by), Albert Maltz (and the screenplay by), Irene Kamp (and the screenplay by)","Colin Farrell, Nicole Kidman, Kirsten Dunst, Elle Fanning",93 min,The unexpected arrival of a wounded Union soldier at a girls school in Virginia during the American Civil War leads to jealousy and betrayal.,tt5592248,6.3,"45,301",77
187,Battle of Memories,China Lion Film Distribution,"$594,552",42,"$224,942",37.8%,42,Apr 28,Jun 8,False,N/A,"Fantasy, Mystery, Sci-Fi, Thriller",Mandarin,N/A,N/A,"$570,992",Leste Chen,"Leste Chen, Peng Ren","Bo Huang, Yihong Duan, Jinglei Xu, Zishan Yang",119 min,"After undergoing a procedure to erase his memories, a successful author begins having unexplained recollections relating to a series of unsolved murders.",tt5636668,6.5,761,N/A
188,Bitter Harvest,Roadside Attractions,"$557,241",127,"$219,357",39.4%,127,Feb 24,Apr 6,False,R,"Drama, Romance, War","English, Russian",3 nominations.,13 Jun 2017,"$557,004",George Mendeluk,"Richard Bachynsky Hoover (screenplay), George Mendeluk (screenplay), Richard Bachynsky Hoover (story)","Barry Pepper, Aneurin Barnard, Richard Brake, Max Irons",103 min,"Set in 1930s Ukraine, as Stalin advances the ambitions of communists in the Kremlin, young artist Yuri battles to save his lover Natalka from the Holodomor, the death-by-starvation program that ultimately killed millions of Ukrainians.",tt3182620,6.0,"3,184",34
189,Wolf Warrior 2,The H Collective,"$2,721,034",53,"$219,022",8%,53,Jul 28,Oct 19,False,Not Rated,"Action, Drama, Thriller, War","Mandarin, English, French",2 nominations.,12 Dec 2017,"$2,720,898",Jing Wu,"Qun Dong, Yan Gao, Yi Liu, Jing Wu","Jing Wu, Frank Grillo, Celina Jade, Gang Wu",123 min,"China's deadliest special forces operative settles into a quiet life on the sea. When sadistic mercenaries begin targeting nearby civilians, he must leave his newfound peace behind and return to his duties as a soldier and protector.",tt7131870,6.1,"5,941",44
190,Phantom Thread,Focus Features,"$21,198,205",1186,"$216,495",1%,4,Dec 25,Apr 12,False,R,"Drama, Romance","English, French",Won 1 Oscar. Another 46 wins & 93 nominations.,10 Apr 2018,"$947,190",Paul Thomas Anderson,Paul Thomas Anderson,"Vicky Krieps, Daniel Day-Lewis, Lesley Manville, Julie Vollono",130 min,"Set in 1950s London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover.",tt5776858,7.5,"91,211",90
191,Tommy's Honour,Roadside Attractions,"$569,306",167,"$209,190",36.7%,167,Apr 14,Jun 1,False,PG,"Biography, Drama, Romance, Sport",English,1 win & 2 nominations.,18 Jul 2017,"$561,963",Jason Connery,"Pamela Marin, Kevin Cook","Sam Neill, Jack Lowden, Ophelia Lovibond, Peter Mullan",112 min,"In every generation, a torch passes from father to son. And that timeless dynamic is the beating heart of Tommy's Honour - an intimate, powerfully moving tale of the real-life founders of the modern game of golf.",tt3467914,6.3,876,56
192,Sword Art Online: The Movie - Ordinal Scale,Eleven Arts,"$1,520,350",621,"$196,454",12.9%,578,Mar 9,May 4,False,TV-14,"Animation, Action, Adventure, Fantasy, Sci-Fi",Japanese,N/A,N/A,N/A,Tomohiko Itô,"Tomohiko Itô (screenplay), Reki Kawahara (characters), Reki Kawahara (screenplay)","Yoshitsugu Matsuoka, Haruka Tomatsu, Kanae Itô, Ayana Taketatsu",119 min,"Kirito uncovers a conspiracy within Ordinal Scale, a popular VR game developed for a new system called The Augma.",tt5544384,7.4,"4,862",N/A
193,A Gentleman,FIP,"$410,055",135,"$191,530",46.7%,135,Aug 25,Sep 14,False,Not Rated,"Action, Comedy",Hindi,N/A,N/A,"$407,213","Krishna D.K., Raj Nidimoru","Raj Nidimoru (story), Krishna D.K. (story), Sita Menon (story), Raj Nidimoru (screenplay), Krishna D.K. (screenplay), Sumit Batheja (dialogue)","Sidharth Malhotra, Jacqueline Fernandez, Darshan Kumaar, Hussain Dalal",145 min,"Gaurav, a simple hard working guy for a white collar job visits Mumbai for a meeting where his doppelganger is about to bring chaos in his life.",tt5613834,6.3,"4,324",N/A
194,Along with the Gods: The Two Worlds,Well Go USA Entertainment,"$1,905,361",35,"$185,546",9.7%,17,Dec 22,Mar 1,False,Not Rated,"Action, Drama, Fantasy",Korean,1 win & 3 nominations.,N/A,"$1,118,190",Yong-hwa Kim,"Ho-min Ju (story), Yong-hwa Kim","Jung-woo Ha, Tae-Hyun Cha, Ji-Hoon Ju, Hyang-gi Kim",139 min,"After a heroic death, a firefighter navigates the afterlife with the help of three guides.",tt7160070,7.3,"9,717",N/A
195,Buddies in India,China Lion Film Distribution,"$293,194",55,"$181,705",62%,55,Jan 27,Feb 15,False,Unrated,"Action, Comedy","Mandarin, English",N/A,N/A,"$292,662",Baoqiang Wang,"Ding Ding, Baoqiang Wang, Muchun Zha","Baoqiang Wang, Yan Liu, Bai-Ke, Vikramjeet Virk",99 min,"In an effort to save his house, a man accompanies the son of a recently deceased CEO to India to recover his will.",tt6152908,3.7,233,N/A
196,Leap!,Entertainment One,"$2,844,490",237,"$181,091",6.4%,77,Feb 24,-,False,PG,"Animation, Adventure, Comedy, Family, Music",English,1 nomination.,21 Nov 2017,"$21,797,758","Eric Summer, Éric Warin, Mimi Maynard, Paulette Victor-Lifton","Eric Summer (original idea), Eric Summer (original story), Laurent Zeitoun (original story), Carol Noble (screenplay), Laurent Zeitoun (screenplay), Eric Summer (screenplay)","Elle Fanning, Dane DeHaan, Carly Rae Jepsen, Maddie Ziegler",89 min,"An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera house.",tt2261287,6.8,"17,198",48
197,Darkest Hour,Focus Features,"$56,361,300",1733,"$175,006",0.3%,4,Nov 22,Apr 12,False,PG-13,"Biography, Drama, History, War","English, French, German",Won 2 Oscars. Another 40 wins & 63 nominations.,27 Feb 2018,"$28,086,332",Joe Wright,Anthony McCarten,"Gary Oldman, Kristin Scott Thomas, Ben Mendelsohn, Lily James",125 min,"In May 1940, the fate of Western Europe hangs on British Prime Minister Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean a humiliating defeat for Britain and its empire.",tt4555426,7.4,"143,021",75
198,I Do... Until I Don't,The Film Arcade,"$234,259",165,"$170,775",72.9%,165,Sep 1,Sep 21,False,R,Comedy,English,N/A,N/A,"$279,263",Lake Bell,Lake Bell (screenplay),"Lake Bell, Ed Helms, Mary Steenburgen, Paul Reiser",106 min,An ensemble comedy about the meaning of matrimony.,tt3234084,4.6,"1,103",43
199,T2 Trainspotting,-,"$2,402,004",331,"$170,575",7.1%,5,Mar 17,May 25,False,R,Drama,"English, Bulgarian, Scots",6 wins & 5 nominations.,27 Jun 2017,"$2,395,410",Danny Boyle,"John Hodge, Irvine Welsh (based on the books Porno and Trainspotting by)","Ewan McGregor, Logan Gillies, Ben Skelton, Aiden Haggarty",117 min,"After 20 years abroad, Mark Renton returns to Scotland and reunites with his old friends Sick Boy, Spud, and Begbie.",tt2763304,7.2,"100,546",67
200,9/11,Atlas Distribution Company,"$170,000",425,"$170,000",100%,425,Sep 8,Sep 10,False,TV-PG,Documentary,English,Won 2 Primetime Emmys. Another 6 wins & 6 nominations.,12 Sep 2002,N/A,"James Hanlon, Gédéon Naudet, Jules Naudet","Tom Forman, Greg Kandra","Tony Benatatos, Jamal Braithwaite, Steve Buscemi, Joe Casaliggi",112 min,"A real life documentary following the events of September 11 from an insider's view, through the lens of James Hanlon and two French filmmakers who were in Manhattan that one day.",tt0312318,8.4,"6,127",N/A
201,Fairy Tail: The Movie - Dragon Cry,FUNimation Entertainment,"$519,461",304,"$169,203",32.6%,292,Aug 14,Aug 20,False,TV-14,"Animation, Action, Adventure, Comedy, Fantasy",Japanese,N/A,N/A,N/A,Tatsuma Minamikawa,"Hiro Mashima (manga), Hiro Mashima (story), Shôji Yonemura (screenplay)","Makoto Furukawa, Wataru Hatano, Aya Hirano, Yui Horie",85 min,"In the new film, based on the Hiro Mashima's manga, Natsu Dragneel and his friends travel to the island Kingdom of Stella, where they will reveal dark secrets, fight the new enemies and once again save the world from destruction.",tt6548966,7.2,"1,448",N/A
202,The Shape of Water,Fox Searchlight Pictures,"$63,699,028",2341,"$166,564",0.3%,2,Dec 1,May 3,False,R,"Adventure, Drama, Fantasy, Romance, Thriller","English, American Sign Language, Russian, French",Won 4 Oscars. Another 101 wins & 293 nominations.,13 Mar 2018,"$57,393,976",Guillermo del Toro,"Guillermo del Toro (screenplay by), Vanessa Taylor (screenplay by), Guillermo del Toro (story by)","Sally Hawkins, Michael Shannon, Richard Jenkins, Octavia Spencer",123 min,"At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",tt5580390,7.3,"325,180",87
203,Sarkar 3,Eros International,"$249,588",107,"$164,364",65.9%,107,May 12,May 25,False,Not Rated,"Action, Crime, Drama, Thriller",Hindi,N/A,N/A,N/A,Ram Gopal Varma,"P. Jaya Kumar (story and screenplay), P. Jaya Kumar, Ramkumar Singh (dialogue), Nilesh Girkar (based on a story by)","Amitabh Bachchan, Jackie Shroff, Abhishek Bachchan, Manoj Bajpayee",130 min,"The third film in Ram Gopal Varma's Sarkar trilogy, which chronicles the exploits of a powerful political figure.",tt5742874,4.9,"1,686",N/A
204,Wind River,The Weinstein Company,"$33,800,859",2890,"$161,558",0.5%,4,Aug 4,Dec 7,False,R,"Crime, Drama, Mystery, Thriller",English,8 wins & 18 nominations.,14 Nov 2017,"$33,782,714",Taylor Sheridan,Taylor Sheridan,"Kelsey Asbille, Jeremy Renner, Julia Jones, Teo Briones",107 min,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,tt5362988,7.7,"176,583",73
205,Duckweed,China Lion Film Distribution,"$355,561",30,"$160,739",45.2%,27,Feb 10,Mar 23,False,N/A,"Comedy, Drama, Fantasy",Mandarin,N/A,N/A,"$469,706",Han Han,Han Han,"Chao Deng, Eddie Peng, Zanilia Zhao, Zijian Dong",102 min,"In the near-death after an accident, a sports car driver time-travelled back to the 1990s to meet his severe father and never-seen mother in a small Chinese town.",tt6461514,6.5,"1,063",N/A
206,The Florida Project,A24,"$5,904,366",229,"$157,553",2.7%,4,Oct 6,Mar 22,False,R,Drama,"English, Spanish, Portuguese",Nominated for 1 Oscar. Another 58 wins & 106 nominations.,20 Feb 2018,"$5,412,775",Sean Baker,"Sean Baker, Chris Bergoch","Brooklynn Prince, Christopher Rivera, Aiden Malik, Josie Olivo",111 min,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.",tt5649144,7.6,"75,638",92
207,The Ottoman Lieutenant,Paladin,"$240,978",216,"$149,830",62.2%,216,Mar 10,Mar 23,False,R,"Drama, War",English,N/A,01 Aug 2017,"$173,750",Joseph Ruben,Jeff Stockwell,"Michiel Huisman, Hera Hilmar, Josh Hartnett, Ben Kingsley",106 min,This movie is a love story between an idealistic American nurse and a Turkish officer in World War I.,tt4943322,6.6,"23,078",26
208,Step,Fox Searchlight Pictures,"$1,146,292",306,"$146,488",12.8%,29,Aug 4,Oct 12,False,PG,Documentary,English,8 wins & 20 nominations.,N/A,"$1,137,759",Amanda Lipitz,N/A,"Gari McIntyre, Amanda Leonard, Blessin Giraldo, Chevonne Hall",84 min,STEP documents the senior year of a girls' high-school step dance team against the background of inner-city Baltimore.,tt5758404,6.9,761,81
209,All I See Is You,Open Road Films (II),"$217,644",283,"$144,076",66.2%,283,Oct 27,Nov 9,False,R,"Drama, Mystery, Romance",English,1 nomination.,06 Feb 2018,N/A,Marc Forster,"Sean Conway (screenplay), Marc Forster (screenplay)","Blake Lively, Jason Clarke, Ahna O'Reilly, Miquel Fernández",109 min,A blind woman's relationship with her husband changes when she regains her sight and discovers disturbing details about themselves.,tt4486986,5.4,"8,933",43
210,Beatriz at Dinner,Roadside Attractions,"$7,115,854",683,"$141,959",2%,5,Jun 9,Oct 5,False,R,"Comedy, Drama","English, Spanish",2 wins & 8 nominations.,N/A,"$7,115,001",Miguel Arteta,Mike White,"Salma Hayek, John Lithgow, Connie Britton, Jay Duplass",82 min,A holistic medicine practitioner attends a wealthy client's dinner party after her car breaks down.,tt5929750,6.0,"8,219",68
211,Chasing the Dragon,Well Go USA Entertainment,"$456,854",52,"$138,346",30.3%,52,Sep 29,Nov 19,False,N/A,"Action, Biography, Crime, History","Cantonese, Mandarin, English, Thai, Teochew",N/A,23 Jan 2018,"$456,854","Jason Kwan, Jing Wong, Aman Chang(co-director)","Koon-Nam Lui (screenplay), Jing Wong, Ming-Ho Yip (screenplay)","Donnie Yen, Andy Lau, Philip Keung, Wilfred Lau",128 min,"An illegal immigrant from Mainland China sneaks into corrupt British-colonized Hong Kong in 1963, transforming himself into a ruthless and emerging drug lord.",tt6015328,6.8,"3,062",N/A
212,American Satan,Sumerian Films,"$237,708",55,"$135,378",57%,55,Oct 13,Nov 9,False,R,"Drama, Music, Thriller",English,9 wins & 5 nominations.,20 Feb 2018,N/A,Ash Avildsen,"Ash Avildsen, Matty Beckerman","Andy Biersack, Booboo Stewart, Ben Bruce, John Bradley",111 min,"A young rock band, half of its members from England and half from the U.S., drops out of college and moves to the Sunset Strip to chase their dreams.",tt5451690,5.5,"2,739",N/A
213,Ingrid Goes West,Neon,"$3,024,308",647,"$135,301",4.5%,3,Aug 11,Oct 26,False,R,"Comedy, Drama",English,2 wins & 8 nominations.,07 Nov 2017,"$3,016,057",Matt Spicer,"David Branson Smith, Matt Spicer","Aubrey Plaza, Elizabeth Olsen, O'Shea Jackson Jr., Wyatt Russell",98 min,An unhinged social media stalker moves to LA and insinuates herself into the life of an Instagram star.,tt5962210,6.6,"28,580",71
214,This Is Not What I Expected,Well Go USA Entertainment,"$335,525",36,"$135,252",40.3%,36,May 5,-,False,TV-PG,"Comedy, Drama, Romance",N/A,4 nominations.,N/A,"$334,985",Derek Hui,"Joyce Chan, Yuan Li, Lan Bai Se (novel), Yimeng Xu","Takeshi Kaneshiro, Dongyu Zhou, Yi-zhou Sun, Ming Xi",106 min,"An obsessive CEO of a company meets a ragged chef by chance. They are drawn closer together because of their love for delicacies, yet their personalities clash big time.",tt6772874,6.7,"1,146",N/A
215,Wonder Wheel,Amazon Studios,"$1,404,061",536,"$125,570",8.9%,5,Dec 1,Feb 1,False,PG-13,Drama,English,3 wins & 4 nominations.,06 Mar 2018,N/A,Woody Allen,Woody Allen,"Justin Timberlake, Juno Temple, Robert C. Kirk, Kate Winslet",101 min,"On Coney Island in the 1950s, a lifeguard tells the story of a middle-aged carousel operator, his beleaguered wife, and the visitor who turns their lives upside-down.",tt5825380,6.2,"21,052",45
