,Title,Distributor,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Estimated,Rated,Genre,Language,Awards,DVD,BoxOffice,Director,Writer,Actors,Runtime,Plot,IMDB_ID,IMDB_Rating,IMDB_Votes,IMDB_Metascore
10,Despicable Me 3,Universal Pictures,"$264,624,300",4535,"$72,434,025",27.4%,4529,Jun 30,Dec 21,False,PG,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",English,25 nominations.,05 Dec 2017,"$264,194,540","Kyle Balda, Pierre Coffin, Eric Guillon(co-director)","Cinco Paul, Ken Daurio","Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove",89 min,"Gru meets his long-lost charming, cheerful, and more successful twin brother Dru who wants to team up with him for one last criminal heist.",tt3469046,6.3,"98,465",49
11,Pirates of the Caribbean: Dead Men Tell No Tales,Walt Disney Studios Motion Pictures,"$172,558,876",4276,"$62,983,253",36.5%,4276,May 26,Sep 21,False,PG-13,"Action, Adventure, Fantasy","English, Spanish",9 nominations.,03 Oct 2017,"$172,537,139","Joachim Rønning, Espen Sandberg","Jeff Nathanson (screenplay by), Jeff Nathanson (story by), Terry Rossio (story by), Ted Elliott (based on characters created by), Terry Rossio (based on characters created by), Stuart Beattie (based on characters created by), Jay Wolpert (based on characters created by)","Johnny Depp, Javier Bardem, Geoffrey Rush, Brenton Thwaites",129 min,Captain Jack Sparrow (Johnny Depp) searches for the trident of Poseidon while being pursued by an undead sea Captain and his crew.,tt1790809,6.6,"235,221",39
12,Kong: Skull Island,Warner Bros.,"$168,052,812",3846,"$61,025,472",36.3%,3846,Mar 10,Jun 15,False,PG-13,"Action, Adventure, Fantasy, Sci-Fi","English, Vietnamese",Nominated for 1 Oscar. Another 1 win & 15 nominations.,18 Jul 2017,"$167,986,460",Jordan Vogt-Roberts,"Dan Gilroy (screenplay by), Max Borenstein (screenplay by), Derek Connolly (screenplay by), John Gatins (story by)","Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly",118 min,"After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.",tt3731562,6.6,"247,689",62
13,War for the Planet of the Apes,Twentieth Century Fox,"$146,843,711",4100,"$56,262,929",38.3%,4022,Jul 14,Nov 30,False,PG-13,"Action, Adventure, Drama, Sci-Fi, Thriller","English, American Sign Language",Nominated for 1 Oscar. Another 22 wins & 46 nominations.,24 Oct 2017,"$146,872,826",Matt Reeves,"Mark Bomback, Matt Reeves, Rick Jaffa (based on characters created by), Amanda Silver (based on characters created by)","Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval",140 min,"After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.",tt3450958,7.4,"208,809",82
14,Cars 3,Walt Disney Studios Motion Pictures,"$152,901,115",4256,"$53,688,680",35.1%,4256,Jun 16,Nov 2,False,G,"Animation, Adventure, Comedy, Family, Sport",English,20 nominations.,07 Nov 2017,"$152,603,003",Brian Fee,"Brian Fee (original story by), Ben Queen (original story by), Eyal Podell (original story by), Jonathon E. Stewart (original story by), Kiel Murray (screenplay by), Bob Peterson (screenplay by), Mike Rich (screenplay by), Scott Morse (additional story material)","Owen Wilson, Cristela Alonzo, Chris Cooper, Nathan Fillion",102 min,Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,tt3606752,6.7,"63,508",59
15,The Lego Batman Movie,Warner Bros.,"$175,750,384",4088,"$53,003,468",30.2%,4088,Feb 10,Jun 8,False,PG,"Animation, Action, Comedy, Family",English,11 wins & 58 nominations.,13 Jun 2017,"$175,686,290",Chris McKay,"Seth Grahame-Smith (screenplay by), Chris McKenna (screenplay by), Erik Sommers (screenplay by), Jared Stern (screenplay by), John Whittington (screenplay by), Seth Grahame-Smith (story by), Bob Kane (Batman created by), Bill Finger (Batman created by), Jerry Siegel (Superman created by), Joe Shuster (Superman created by), William Moulton Marston (Wonder Woman created by), Ole Kirk Christiansen (based on LEGO Construction Toys created by), Godtfred Kirk Christiansen (based on LEGO Construction Toys created by), Jens Nygaard Knudsen (based on LEGO Construction Toys created by)","Will Arnett, Michael Cera, Rosario Dawson, Ralph Fiennes",104 min,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",tt4116284,7.3,"120,655",75
16,Coco,Walt Disney Studios Motion Pictures,"$209,726,015",3987,"$50,802,605",24.2%,3987,Nov 22,Apr 26,False,PG,"Animation, Adventure, Family, Fantasy, Music, Mystery","English, Spanish",Won 2 Oscars. Another 86 wins & 28 nominations.,27 Feb 2018,"$208,487,719","Lee Unkrich, Adrian Molina(co-director)","Lee Unkrich (original story by), Jason Katz (original story by), Matthew Aldrich (original story by), Adrian Molina (original story by), Adrian Molina (screenplay by), Matthew Aldrich (screenplay by)","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach",105 min,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",tt2380307,8.4,"303,592",81
17,Dunkirk,Warner Bros.,"$188,045,546",4014,"$50,513,488",26.9%,3720,Jul 21,Nov 23,False,PG-13,"Action, Drama, History, Thriller, War","English, French, German",Won 3 Oscars. Another 51 wins & 197 nominations.,19 Dec 2017,"$188,042,171",Christopher Nolan,Christopher Nolan,"Fionn Whitehead, Damien Bonnard, Aneurin Barnard, Lee Armstrong",106 min,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.",tt5013056,7.9,"486,426",94
18,The Boss Baby,Twentieth Century Fox,"$175,003,033",3829,"$50,198,902",28.7%,3773,Mar 31,Nov 2,False,PG,"Animation, Adventure, Comedy, Family, Fantasy","English, Spanish",Nominated for 1 Oscar. Another 1 win & 19 nominations.,25 Jul 2017,"$174,996,080",Tom McGrath,"Michael McCullers, Marla Frazee (based on the book by)","Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow",97 min,"A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.",tt3874544,6.3,"97,604",50
19,Fifty Shades Darker,Universal Pictures,"$114,434,010",3714,"$46,607,250",40.7%,3710,Feb 10,Apr 6,False,R,"Drama, Romance",English,3 wins & 12 nominations.,09 May 2017,"$114,376,885",James Foley,"Niall Leonard (screenplay by), E.L. James (based on the novel by)","Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford",118 min,"While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",tt4465564,4.6,"84,157",33
20,Transformers: The Last Knight,Paramount Pictures,"$130,168,683",4132,"$44,680,073",34.3%,4069,Jun 21,Aug 24,False,PG-13,"Action, Adventure, Sci-Fi",English,16 nominations.,26 Sep 2017,"$130,104,634",Michael Bay,"Art Marcum (screenplay by), Matt Holloway (screenplay by), Ken Nolan (screenplay by), Akiva Goldsman (story by), Art Marcum (story by), Matt Holloway (story by), Ken Nolan (story by)","Mark Wahlberg, Anthony Hopkins, Josh Duhamel, Laura Haddock",154 min,"A deadly threat from Earth's history reappears, and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.",tt3371366,5.2,"123,812",27
21,Power Rangers,Lionsgate,"$85,364,450",3693,"$40,300,288",47.2%,3693,Mar 24,Jun 1,False,PG-13,"Action, Adventure, Sci-Fi","English, Mandarin",6 nominations.,27 Jun 2017,"$85,275,488",Dean Israelite,"John Gatins (screenplay by), Matt Sazama (story by), Burk Sharpless (story by), Michele Mulroney (story by), Kieran Mulroney (story by), Haim Saban (based upon ""Power Rangers"" created by), Saburo Yatsude (television series: ""Super Sentai""), Shôtarô Ishinomori (television series: ""Super Sentai"")","Dacre Montgomery, Naomi Scott, RJ Cyler, Ludi Lin",124 min,"A group of high-school students, who are infused with unique superpowers, harness their abilities in order to save the world.",tt3717490,5.9,"95,172",44
22,Split,Universal Pictures,"$138,141,585",3373,"$40,010,975",29%,3038,Jan 20,May 11,False,PG-13,"Horror, Thriller",English,8 wins & 19 nominations.,18 Apr 2017,"$138,120,085",M. Night Shyamalan,M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Betty Buckley, Haley Lu Richardson",117 min,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,tt4972582,7.3,"375,137",62
23,Kingsman: The Golden Circle,Twentieth Century Fox,"$100,229,647",4038,"$39,023,010",38.9%,4003,Sep 22,Jan 4,False,R,"Action, Adventure, Comedy","English, Italian, Swedish",1 win & 4 nominations.,12 Dec 2017,"$99,733,121",Matthew Vaughn,"Jane Goldman, Matthew Vaughn, Mark Millar (based on the comic book ""The Secret Service"" by), Dave Gibbons (based on the comic book ""The Secret Service"" by)","Taron Egerton, Edward Holcroft, Gordon Alexander, Mark Strong",141 min,"When their headquarters are destroyed and the world is held hostage, the Kingsman's journey leads them to the discovery of an allied spy organization in the United States. These two elite secret organizations must band together to defeat a common enemy.",tt4649466,6.8,"239,552",44
24,Jumanji: Welcome to the Jungle,Sony Pictures Releasing,"$404,515,480",3849,"$36,169,328",8.9%,3765,Dec 20,May 31,False,PG-13,"Action, Adventure, Comedy, Fantasy",English,2 wins & 3 nominations.,20 Mar 2018,"$393,201,353",Jake Kasdan,"Chris McKenna (screenplay by), Erik Sommers (screenplay by), Scott Rosenberg (screenplay by), Jeff Pinkner (screenplay by), Chris McKenna (screen story by), Chris Van Allsburg (based on the book ""Jumanji"" by), Greg Taylor (based on the film ""Jumanji"" screen story by), Chris Van Allsburg (based on the film ""Jumanji"" screen story by), Jonathan Hensleigh (based on the film ""Jumanji"" screenplay by), Greg Taylor (based on the film ""Jumanji"" screenplay by)","Dwayne Johnson, Kevin Hart, Jack Black, Karen Gillan",119 min,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",tt2283362,6.9,"256,574",58
25,Alien: Covenant,Twentieth Century Fox,"$74,249,538",3772,"$36,160,621",48.7%,3761,May 19,Aug 31,False,R,"Horror, Sci-Fi, Thriller",English,1 win & 12 nominations.,15 Aug 2017,"$74,255,908",Ridley Scott,"Dan O'Bannon (based on characters created by), Ronald Shusett (based on characters created by), Jack Paglen (story by), Michael Green (story by), John Logan (screenplay by), Dante Harper (screenplay by)","Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride",122 min,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",tt2316204,6.4,"233,704",65
26,Annabelle: Creation,Warner Bros.,"$102,092,201",3565,"$35,006,404",34.3%,3502,Aug 11,Nov 2,False,R,"Horror, Mystery, Thriller","English, Spanish",3 nominations.,24 Oct 2017,"$101,788,793",David F. Sandberg,"Gary Dauberman, Gary Dauberman (based on characters created by)","Anthony LaPaglia, Samara Lee, Miranda Otto, Brad Greenquist",109 min,"Twelve years after the tragic death of their little girl, a doll-maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, where they become the target of the doll-maker's possessed creation, Annabelle.",tt5140878,6.5,"98,490",62
27,Get Out,Universal Pictures,"$176,040,665",3143,"$33,377,060",19%,2781,Feb 24,Feb 15,False,R,"Horror, Mystery, Thriller",English,Won 1 Oscar. Another 122 wins & 181 nominations.,23 May 2017,"$175,428,355",Jordan Peele,Jordan Peele,"Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford",104 min,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",tt5052448,7.7,"427,075",84
