,imdb_id,imdb_metascore,title
9338,tt0305999,63.0,The Rage in Placid Lake
9341,tt0308152,n/a,Dead End
9346,tt0312700,n/a,The Foreigner
9347,tt0312773,n/a,The Man of the Year
9349,tt0313724,n/a,The Third Wave
9351,tt0316768,n/a,Tiptoes
9354,tt0318725,75.0,Fear and Trembling
9356,tt0319917,n/a,Planta 4ª
9359,tt0322545,n/a,Herr Lehmann
9361,tt0323332,n/a,My House in Umbria
9362,tt0323443,n/a,Upswing
9363,tt0323531,n/a,Out for a Kill
9364,tt0323551,n/a,Bad Boys
9365,tt0323807,53.0,"Remember Me, My Love"
9366,tt0324013,n/a,Soldier's Girl
9368,tt0325123,64.0,Bright Young Things
9370,tt0327409,n/a,Alien Hunter
9371,tt0328077,45.0,Love Object
9372,tt0328832,n/a,The Animatrix
9376,tt0330911,n/a,Elina: As If I Wasn't There
9377,tt0331811,65.0,11:14
9384,tt0337824,n/a,And Starring Pancho Villa as Himself
9385,tt0337930,49.0,Nicotina
9387,tt0338309,61.0,Evil
9389,tt0338467,n/a,High Roller: The Stu Ungar Story
9390,tt0338763,n/a,Battle Royale II: Requiem
9391,tt0339135,n/a,In Hell
9394,tt0342150,77.0,Bukowski - Born into This
9395,tt0342492,54.0,The Green Butchers
9396,tt0342520,n/a,Pearls and Pigs
9400,tt0345549,73.0,Last Life in the Universe
9401,tt0347037,n/a,The Galíndez File
9404,tt0347304,54.0,Kal Ho Naa Ho
9408,tt0350193,74.0,Take My Eyes
9410,tt0351299,78.0,Blind Shaft
9412,tt0351887,n/a,The Twins Effect
9413,tt0352332,76.0,Far Side of the Moon
9414,tt0352343,55.0,Facing Windows
9417,tt0356176,n/a,Dark Woods
9418,tt0356614,n/a,Foolproof
9419,tt0357474,n/a,Belly of the Beast
9420,tt0359203,n/a,"Easy Riders, Raging Bulls"
9421,tt0359564,n/a,The Book of Fate
9422,tt0359692,n/a,When the Last Sword Is Drawn
9424,tt0362387,n/a,2LDK
9428,tt0364093,75.0,A Talking Picture
9430,tt0364569,77.0,Oldboy
9434,tt0365514,n/a,Moon Child
9435,tt0365763,n/a,Illusive Tracks
9436,tt0365810,n/a,The Black Lapp
9438,tt0366292,54.0,One Missed Call
9439,tt0366527,n/a,Goldfish Memory
9443,tt0366996,78.0,The Saddest Music in the World
9445,tt0367859,49.0,The Man Who Copied
9446,tt0367913,n/a,Ju-on: The Grudge 2
9448,tt0368667,n/a,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem
9449,tt0368909,69.0,Ong-Bak: The Thai Warrior
9450,tt0369060,n/a,Infernal Affairs II
9452,tt0370904,n/a,Lucky 7
9454,tt0371589,n/a,Buddy
9455,tt0372279,85.0,Festival Express
9457,tt0373283,56.0,Saints and Soldiers
9459,tt0373861,81.0,The Weeping Camel
9463,tt0374184,n/a,Running on Karma
9465,tt0374339,n/a,Infernal Affairs III
9466,tt0374345,73.0,The Memory Of A Killer
9471,tt0376968,82.0,The Return
9472,tt0377031,82.0,The Agronomist
9477,tt0377992,52.0,The Visual Bible: The Gospel of John
9479,tt0379225,73.0,The Corporation
9480,tt0379296,66.0,Game Over: Kasparov and the Machine
9481,tt0379576,n/a,Vibrator
9482,tt0379593,68.0,The Yes Men
9484,tt0381936,n/a,Bummer
9486,tt0382821,n/a,Green Tea
9487,tt0383475,78.0,Lost Boys of Sudan
9489,tt0384819,49.0,Azumi
9497,tt0388395,67.0,Schultze Gets the Blues
9520,tt0376568,44.0,Sexual Dependency
9527,tt0361668,58.0,Gozu
9528,tt0377556,82.0,"Goodbye, Dragon Inn"
9592,tt0326208,62.0,Stander
9599,tt0310203,n/a,Ruby & Quentin
9625,tt0339806,62.0,Torremolinos 73
9632,tt0322807,n/a,Strawberries in the Supermarket
9642,tt0353969,82.0,Memories of Murder
9673,tt0390336,60.0,Overnight
9680,tt0298131,49.0,Rosenstrasse
9687,tt0363290,68.0,Purple Butterfly
9688,tt0379270,47.0,Easy
9707,tt0327210,44.0,Uncle Nino
9714,tt0284674,n/a,Pauly Shore Is Dead
9724,tt0326835,39.0,Dot the I
9730,tt0368314,n/a,Surplus: Terrorized Into Being Consumers
9738,tt0378906,71.0,Travellers and Magicians
9739,tt0288330,66.0,Želary
9751,tt0373981,72.0,Control
9765,tt0396041,n/a,Gory Gory Hallelujah
9788,tt0350804,n/a,God Is Brazilian
9790,tt0337879,n/a,Blackball
9816,tt0354668,70.0,Save the Green Planet!
9817,tt0345853,n/a,Stealing Rembrandt
9823,tt0337631,59.0,The Boys from County Clare
9826,tt0347540,55.0,Milk and Honey
9842,tt0372814,58.0,Free Radicals
9871,tt0368711,74.0,End of the Century: The Story of The Ramones
9873,tt0378428,n/a,Natural City
9884,tt0382734,n/a,Harvie Krumpet
9886,tt0424565,80.0,The Wild Parrots of Telegraph Hill
9897,tt0356999,n/a,Not on the Lips
9907,tt0376717,6.0,National Lampoon's Gold Diggers
9908,tt0337881,n/a,Blind Horizon
9937,tt0362389,n/a,44 Minutes: The North Hollywood Shoot-Out
9972,tt0338706,62.0,Alexandra's Project
9974,tt0325234,n/a,The Delicate Art of Parking
9986,tt0345591,n/a,Love Comes Softly
10047,tt0332285,68.0,Off the Map
10049,tt0374273,n/a,The Tesseract
10059,tt0370244,n/a,9 Souls
10060,tt0379357,86.0,Los Angeles Plays Itself
10074,tt0379577,69.0,Vodka Lemon
10075,tt0365109,71.0,Deep Blue
10077,tt0337721,n/a,The Snow Walker
10102,tt0344604,53.0,After You
10106,tt0338095,42.0,High Tension
10123,tt0362417,n/a,Aragami
10152,tt0337945,n/a,Coronado
10170,tt0366287,63.0,Caterina in the Big City
10188,tt0380485,59.0,Bonjour Monsieur Shlomi
10194,tt0299478,80.0,Saraband
10206,tt0363029,52.0,Rick
10211,tt0357037,n/a,Pornography
10212,tt0381637,n/a,Symmetry
10225,tt0376800,n/a,November
10236,tt0378897,48.0,A Touch of Spice
10276,tt0380164,n/a,Acacia
10302,tt0326036,47.0,Who Killed Bambi?
10352,tt0302361,n/a,Bookies
10382,tt0331338,57.0,16 Years of Alcohol
10414,tt0370082,n/a,Whispering Corridors 3: Wishing Stairs
10428,tt0318997,n/a,Angels in America
10472,tt0302297,n/a,Barely Legal
10581,tt0321440,n/a,Welcome to the Roses
10609,tt0346800,82.0,Cowards Bend the Knee
10636,tt0323998,n/a,Slim Susie
10658,tt0384036,n/a,The Debutantes
10691,tt0338075,46.0,Grand Theft Parsons
10692,tt0329162,n/a,Devil's Pond
10708,tt0325007,38.0,April's Shower
10735,tt0372366,n/a,Roads to Koktebel
10741,tt0339785,n/a,Thoughtcrimes
10755,tt0379730,80.0,Charlie: The Life and Art of Charles Chaplin
10883,tt0331080,65.0,Wheel of Time
10888,tt0367975,n/a,Lisbela and the Prisoner
10916,tt0322700,39.0,I Love Your Work
11023,tt0326429,n/a,The Miracle of Bern
11035,tt0352426,n/a,Ice Bound - A Woman's Survival at the South Pole
11076,tt0347105,n/a,Fuse
11078,tt0330634,n/a,Mimic: Sentinel
11135,tt0377569,69.0,"Good Morning, Night"
11288,tt0365215,n/a,Flight from Death: The Quest for Immortality
11352,tt0324952,n/a,3 Blind Mice
11417,tt0330181,n/a,Gacy
11659,tt0344864,n/a,Atlantis: Milo's Return
11712,tt0298082,n/a,"Not For, or Against (Quite the Contrary)"
11806,tt0363303,n/a,At Five in the Afternoon
12126,tt0355611,n/a,Jonny Vang
12306,tt0339489,n/a,Killing Words
12376,tt0322298,n/a,The Bottom of the Sea
12551,tt0348853,69.0,Nathalie...
12630,tt0387682,n/a,Wesley Willis: The Daddy of Rock 'n' Roll
12726,tt0384832,n/a,Battlefield Baseball
12729,tt0378244,n/a,David Cross: Let America Laugh
12967,tt0351459,n/a,So Normal
12996,tt0307596,n/a,"The Tulse Luper Suitcases, Part 1: The Moab Story"
13026,tt0312409,n/a,Bad Eggs
13048,tt0306011,n/a,Resistance
13126,tt0118840,56.0,The Manson Family
13211,tt0304547,n/a,Small Cuts
13243,tt0320668,n/a,Two Days
13274,tt0366596,n/a,Young Gods
13289,tt0379053,n/a,The Young Visiters
13347,tt0319821,n/a,Maria
13466,tt0363060,n/a,Shara
13563,tt0377651,n/a,The Body
13601,tt0410321,n/a,The Mindscape of Alan Moore
13757,,n/a,Show
13862,tt0443335,n/a,Off the Charts: The Song-Poem Story
13963,tt0315459,55.0,Dallas 362
14130,tt0352524,n/a,Living with Michael Jackson: A Tonight Special
14391,tt0345672,n/a,Most
14412,tt0330801,n/a,Rocks
14652,tt0321997,n/a,Detention
14663,tt0390393,n/a,Puppet Master: The Legacy
14751,tt0304820,n/a,Thomas Pynchon: A Journey Into the Mind of P.
14752,tt0423881,n/a,Rahtree: Flower of the Night
14811,tt0347167,n/a,The Hero: Love Story of a Spy
