,title,rated,genre,runtime,open_date,close_date,studio,director,writer,actors,plot,language,boxoffice,opening,gross,dvd,open_theaters,max_theaters,awards,imdb_id,imdb_rating,imdb_votes,imdb_metascore,rotten_tomato_meter
20,Transformers: The Last Knight,PG-13,"Action, Adventure, Sci-Fi",154.0,2017-06-21,2017-08-24,Paramount Pictures,Michael Bay,"Art Marcum (screenplay by), Matt Holloway (screenplay by), Ken Nolan (screenplay by), Akiva Goldsman (story by), Art Marcum (story by), Matt Holloway (story by), Ken Nolan (story by)","Mark Wahlberg, Anthony Hopkins, Josh Duhamel, Laura Haddock","A deadly threat from Earth's history reappears, and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.",English,130104634.0,44680073.0,130168683.0,2017-09-26,4069.0,4132.0,16 nominations.,tt3371366,5.2,123812.0,27.0,0.15
21,Power Rangers,PG-13,"Action, Adventure, Sci-Fi",124.0,2017-03-24,2017-06-01,Lionsgate,Dean Israelite,"John Gatins (screenplay by), Matt Sazama (story by), Burk Sharpless (story by), Michele Mulroney (story by), Kieran Mulroney (story by), Haim Saban (based upon ""Power Rangers"" created by), Saburo Yatsude (television series: ""Super Sentai""), Shôtarô Ishinomori (television series: ""Super Sentai"")","Dacre Montgomery, Naomi Scott, RJ Cyler, Ludi Lin","A group of high-school students, who are infused with unique superpowers, harness their abilities in order to save the world.","English, Mandarin",85275488.0,40300288.0,85364450.0,2017-06-27,3693.0,3693.0,6 nominations.,tt3717490,5.9,95172.0,44.0,0.67
22,Split,PG-13,"Horror, Thriller",117.0,2017-01-20,2017-05-11,Universal Pictures,M. Night Shyamalan,M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Betty Buckley, Haley Lu Richardson",Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,English,138120085.0,40010975.0,138141585.0,2017-04-18,3038.0,3373.0,8 wins & 19 nominations.,tt4972582,7.3,375137.0,62.0,0.77
23,Kingsman: The Golden Circle,R,"Action, Adventure, Comedy",141.0,2017-09-22,2017-01-04,Twentieth Century Fox,Matthew Vaughn,"Jane Goldman, Matthew Vaughn, Mark Millar (based on the comic book ""The Secret Service"" by), Dave Gibbons (based on the comic book ""The Secret Service"" by)","Taron Egerton, Edward Holcroft, Gordon Alexander, Mark Strong","When their headquarters are destroyed and the world is held hostage, the Kingsman's journey leads them to the discovery of an allied spy organization in the United States. These two elite secret organizations must band together to defeat a common enemy.","English, Italian, Swedish",99733121.0,39023010.0,100229647.0,2017-12-12,4003.0,4038.0,1 win & 4 nominations.,tt4649466,6.8,239552.0,44.0,0.52
24,Jumanji: Welcome to the Jungle,PG-13,"Action, Adventure, Comedy, Fantasy",119.0,2017-12-20,2017-05-31,Sony Pictures Releasing,Jake Kasdan,"Chris McKenna (screenplay by), Erik Sommers (screenplay by), Scott Rosenberg (screenplay by), Jeff Pinkner (screenplay by), Chris McKenna (screen story by), Chris Van Allsburg (based on the book ""Jumanji"" by), Greg Taylor (based on the film ""Jumanji"" screen story by), Chris Van Allsburg (based on the film ""Jumanji"" screen story by), Jonathan Hensleigh (based on the film ""Jumanji"" screenplay by), Greg Taylor (based on the film ""Jumanji"" screenplay by)","Dwayne Johnson, Kevin Hart, Jack Black, Karen Gillan","Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",English,393201353.0,36169328.0,404515480.0,2018-03-20,3765.0,3849.0,2 wins & 3 nominations.,tt2283362,6.9,256574.0,58.0,0.76
25,Alien: Covenant,R,"Horror, Sci-Fi, Thriller",122.0,2017-05-19,2017-08-31,Twentieth Century Fox,Ridley Scott,"Dan O'Bannon (based on characters created by), Ronald Shusett (based on characters created by), Jack Paglen (story by), Michael Green (story by), John Logan (screenplay by), Dante Harper (screenplay by)","Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride","The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",English,74255908.0,36160621.0,74249538.0,2017-08-15,3761.0,3772.0,1 win & 12 nominations.,tt2316204,6.4,233704.0,65.0,0.66
26,Annabelle: Creation,R,"Horror, Mystery, Thriller",109.0,2017-08-11,2017-11-02,Warner Bros.,David F. Sandberg,"Gary Dauberman, Gary Dauberman (based on characters created by)","Anthony LaPaglia, Samara Lee, Miranda Otto, Brad Greenquist","Twelve years after the tragic death of their little girl, a doll-maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, where they become the target of the doll-maker's possessed creation, Annabelle.","English, Spanish",101788793.0,35006404.0,102092201.0,2017-10-24,3502.0,3565.0,3 nominations.,tt5140878,6.5,98490.0,62.0,0.7
27,Get Out,R,"Horror, Mystery, Thriller",104.0,2017-02-24,2017-02-15,Universal Pictures,Jordan Peele,Jordan Peele,"Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",English,175428355.0,33377060.0,176040665.0,2017-05-23,2781.0,3143.0,Won 1 Oscar. Another 122 wins & 181 nominations.,tt5052448,7.7,427075.0,84.0,0.98
28,Blade Runner 2049,R,"Action, Drama, Mystery, Sci-Fi, Thriller",164.0,2017-10-06,2017-02-01,Warner Bros.,Denis Villeneuve,"Hampton Fancher (screenplay by), Michael Green (screenplay by), Hampton Fancher (story by), Philip K. Dick (based on characters from the novel ""Do Androids Dream of Electric Sheep?"" by)","Ryan Gosling, Dave Bautista, Robin Wright, Mark Arnold","A young blade runner's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, who's been missing for thirty years.","English, Finnish, Japanese, Hungarian, Russian, Somali, Spanish",91800042.0,32753122.0,92054159.0,2018-01-16,4058.0,4058.0,Won 2 Oscars. Another 81 wins & 131 nominations.,tt1856101,8.0,398240.0,81.0,0.87
29,The Mummy,PG-13,"Action, Adventure, Fantasy",124.0,2017-06-09,2017-08-24,Universal Pictures,Stephen Sommers,"Stephen Sommers (screen story), Lloyd Fonvielle (screen story), Kevin Jarre (screen story), Stephen Sommers (screenplay)","Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo","At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreck havoc as he searches for the reincarnation of his long-lost love.","English, Egyptian (Ancient), Arabic, Chinese, Hebrew, Hungarian",0.0,31688375.0,80101125.0,1999-09-28,4035.0,4035.0,Nominated for 1 Oscar. Another 5 wins & 19 nominations.,tt0120616,7.0,372216.0,48.0,0.16
